,CM Artist ID,CM Track ID,Title,Artist,Spotify Track IDs,Release Dates
59,250978,15487709,Decoration Day,Jason Isbell and the 400 Unit,7A1dkV9p6d9IH2NiV5yCsQ,2012-11-19T00:00:00.000Z
60,250978,15487710,Goddamn Lonely Love,Jason Isbell and the 400 Unit,17JauV7NyUrllejgZRYrlt,2012-11-19T00:00:00.000Z
61,250978,15487711,Heart on a String,Jason Isbell and the 400 Unit,5Y64dlOpIVtwtXY250EwhF,2012-11-19T00:00:00.000Z
62,250978,15487712,Danko / Manuel,Jason Isbell and the 400 Unit,3CI6GJBhdK4MDWsQggt3og,2012-11-18T00:00:00.000Z
63,250978,15487713,In A Razor Town - Live,Jason Isbell and the 400 Unit,14YciJfXopRaAd9T9A6YtV,2012-11-19T00:00:00.000Z
64,250978,15487714,Alabama Pines,Jason Isbell and the 400 Unit,6Y3FrPW4QND1a4SvHkoNBq,2012-11-19T00:00:00.000Z
65,250978,15487715,Outfit,Jason Isbell and the 400 Unit,0kdXHcBaRpg2o9mSRRS8P4,2012-11-18T00:00:00.000Z
66,250978,15487716,Cigarettes and Wine,Jason Isbell and the 400 Unit,6SFwyQSS9rh3XZ8SAJLR2G,2012-11-19T00:00:00.000Z
67,250978,15487717,TVA,Jason Isbell and the 400 Unit,5AU9W5LwZAnnRaoJ0v8bz8,2012-11-19T00:00:00.000Z
68,250978,15487718,The Blue,Jason Isbell and the 400 Unit,781PzPhRJv6fr0rVGF6dQ7,2012-11-19T00:00:00.000Z
69,250978,15487719,Dress Blues,Jason Isbell and the 400 Unit,0uxv5wfkJ18i11Wp1bDoId,2012-11-19T00:00:00.000Z
70,250978,15487720,Like a Hurricane,Jason Isbell and the 400 Unit,68e67Lj1AjUxGWaFOLFg6o,2012-11-19T00:00:00.000Z
71,250978,15487721,Tour of Duty,Jason Isbell and the 400 Unit,7BDlkFUZNto9DCqOCGeDbY,2012-11-18T00:00:00.000Z
72,250978,15997034,Everywhere with Helicopter,Jason Isbell and the 400 Unit,38kvmSFeTJlrE38uJFOPkW,2011-04-19T00:00:00.000Z
